SKU,Name,Description
"AC2141B2-MO","Tři oddílová peněženka s odnímatelným páskem na zápěstí - MO","Tři oddílová peněženka s odnímatelným páskem na zápěstí"
"AC2141B2-N","Tři oddílová peněženka s odnímatelným páskem na zápěstí - N","Tři oddílová peněženka s odnímatelným páskem na zápěstí"
"AC2141B3-BLU4","Pánská taštička se třemi přihrádkami - BLU4","Mužská kožená peněženka s třemi oddíly"
"AC2141B3-CU","Pánská taštička se třemi přihrádkami - CU","Mužská kožená peněženka s třemi oddíly"
"AC2141B3-N","Pánská taštička se třemi přihrádkami - N","Mužská kožená peněženka s třemi oddíly"
"AC2141B3-TM","Pánská taštička se třemi přihrádkami - TM","Mužská kožená peněženka s třemi oddíly"
"AC2141MOS-BLU","Pánská taštička se třemi přihrádkami - BLU","Mužská peněženka z kůže s třemi oddíly"
"AC2141MOS-N","Pánská taštička se třemi přihrádkami - N","Mužská peněženka z kůže s třemi oddíly"
"AC2141P16-CHEVN","Ochranné pouzdro","Prázdná kabelka s třemi zipy a rukojetí – praktická a stylová"
"AC2648B2-BLU2","Pochette da polso - BLU2","Elegantní náramková taška"
"AC2648B2-MO","Pochette da polso - MO","Elegantní náramková taška"
"AC2648B2-N","Pochette da polso - N","Elegantní náramková taška"
"AC2648MO-N","Pochette da polso - N","Módní náramková taška"
"AC2648MOSR-N","Pochette uomo - N","Mužská peněženka z kvalitní kůže s oddílem na kreditní karty"
"AC3944B2-BLU2","Pochette uomo - BLU2","Mužská kožená peněženka s oddílem na kreditní karty"
"AC3944B2-MO","Pochette uomo - MO","Mužská kožená peněženka s oddílem na kreditní karty"
"AC4221B2-BLU2","Pochette uomo a due scomparti - BLU2","Mužská kožená peněženka s dvěma odděleními"
"AC4221B2-MO","Pochette uomo a due scomparti - MO","Mužská kožená peněženka s dvěma odděleními"
"AC4221B2-N","Pochette uomo a due scomparti - N","Mužská kožená peněženka s dvěma odděleními"
"AC4221S136R-N","Dvojdílná peněženka s oddílem na kreditní karty - N","Dvojdílná peněženka s oddílem na kreditní karty"
"AC5099B2-MO","Mužská peněženka na iPad® mini z kvalitní kůže - MO","Mužská peněženka na iPad® mini z kvalitní kůže"
"AC5099B3-CU","Pochette uomo porta iPad®mini - CU","Prachta peněženka na iPad® mini z kvalitní kůže"
"AC5099B3-N","Pochette uomo porta iPad®mini - N","Prachta peněženka na iPad® mini z kvalitní kůže"
"AC5099B3-TM","Pochette uomo porta iPad®mini - TM","Prachta peněženka na iPad® mini z kvalitní kůže"
"AC5565NN-G-M","Nepromokavý obal na batoh","Praktický a odolný nepromokavý obal, který chrání váš batoh před deštěm a vlhkostí. Lehký a snadno skladný, ideální pro každodenní použití, turistiku nebo cestování. Udržuje vaše věci suché a bezpečné za každého počasí."
"AC5565NN-N-L","Nepromokavý obal na batoh","Praktický a odolný nepromokavý obal, který chrání váš batoh před deštěm a vlhkostí. Lehký a snadno skladný, ideální pro každodenní použití, turistiku nebo cestování. Udržuje vaše věci suché a bezpečné za každého počasí."
"AC5565NN-N-M","Nepromokavý obal na batoh","Praktický a odolný nepromokavý obal, který chrání váš batoh před deštěm a vlhkostí. Lehký a snadno skladný, ideální pro každodenní použití, turistiku nebo cestování. Udržuje vaše věci suché a bezpečné za každého počasí."
"AC5592B2-MO","iPad® Mini pouzdro s odnímatelným zápěstním popruhem","Mužská kabelka na iPad® mini z kvalitní kůže"
"AC5592MOS-N","iPad® Mini pouzdro s odnímatelným zápěstním popruhem","Mužská kabelka na iPad® mini z kvalitní kůže"
"AC5636APR-TM","Mužská krkavička na smartphone se slotem na karty - TM","Mužská krkavička na smartphone se slotem na karty"
"AC5652CY-GR","Busta organizza-spazio per il bagaglio, misura S - GR","Organizační taška na zavazadla, velikost S – ideální pro pořádek v cestách! 🌍✈️"
"AC5653CY-GR","Busta organizza-spazio per il bagaglio, misura M - GR","Organizační taška na zavazadla, velikost M – perfektní pomocník pro pořádný a uspořádaný ruční zavazadlo. Tato kompaktní a odolná taška pomůže udržet vaše věci v pořádku a usnadní jejich nalezení. Ideální pro cestování, dovolenou nebo denní výlety. Vyrobená z kvalitního materiálu, který odolá všem výzvám cestování."
"AC5940B2R-N","Taška na telefon","Praktická taška s dvěma oddíly a slotem na kreditní karty – ideální pro organizovaný každodenní život."
"AC5940BR2R-N","Pochette uomo a due scomparti in tessuto riciclato - N","Elegante peněženka s dvěma oddíly a odděleným slotem na kreditní karty"
"AC6156MOSR-BLU","Pochette uomo con protezione RFID - BLU","Mužská kabelka na iPad® Mini z kvalitní kůže s praktickým polštářkem"
"AC6156MOSR-N","Pochette uomo con protezione RFID - N","Mužská kabelka na iPad® Mini z kvalitní kůže s praktickým polštářkem"
"AC6368C2OW-N","Pouzdro na iPad","Praktická a stylová ochranná pouzdra pro iPad® 11"" z odolného gumovaného tkaniva. Perfektně se přizpůsobí vašemu zařízení a poskytne mu spolehlivou ochranu před poškrábáním a prachem. Ideální pro každodenní používání a snadný přenos."
"AC6369C2OW-N","Taška na iPad","Praktická taška na iPad® z gumovaného tkaniva – dokonalý společník pro každý den. Chrání váš stolní počítač před poškrábáním a prachem, zároveň jej udržuje vždy po ruce. Stylový a funkční design, který se hbitě vejde do každé tašky nebo kabelky. Perfektní volba pro cestování, práci nebo volný čas. Vyrobeno z kvalitního, odolného materiálu, který zvládne všechny výzvy každodenního života."
"AC6435TA-N","Set da viaggio con cuscino da collo gonfiabile - N","Sada cestovních kufrů s nafukovacím poduškovým polštářkem"
"AC6546S135R-BLU","Pouzdro na mobil","Kvalitní mužská přenosná taška na mobil z měkké kůže, praktická a stylová doplňková kabelka pro každodenní použití."
"AC6705S135-N","Pouzdro na iPad mini","Eleganční mužská peněženka na iPad® mini z kvalitní kůže. Právě to, co potřebujete pro stylový a praktický přenos vašeho tabletu. Lehká, odolná a s nádherným vzhledem, která dodává profesionální dotek vašemu vybavení. Ideální pro každodenní použití i cestování."
"AC6706S135-N","Peněženka pro iPad® z kůže pro muže - N","Peněženka pro iPad® z kůže pro muže"
"AC6708S137-AR","Address tag in materiale bio-based - AR","Adresní štítek z ekologického materiálu"
"AC6716B2-CU4","Náramková peněženka","Návěsná peněženka na notebook z kvalitní kůže s funkcí bezkontaktního nabíjení"
"AC6717B2R-N","Portmonek s magnetickým držákem a nabíjecím trackerem - N","Portmonek s magnetickým držákem a nabíjecím trackerem"
"AC6717B2R-R","Portmonek s magnetickým držákem a nabíjecím trackerem - R","Portmonek s magnetickým držákem a nabíjecím trackerem"
"AC6732MOSR-N","Dokumentová peněženka","Pěkná a praktická peněženka s oddílky na dokumenty, ideální pro každodenní použití. Udržuje všechny důležité předměty pořádně uspořádané a snadno dostupné. Vhodná pro služební cesty nebo volný čas."
"AG1142B2-N","Tenká úložná agenda z kožích s penálkem na pero - N","Tenká úložná agenda z kožích s penálkem na pero"
"BD3336B2-N","Shopping bag con compartimento porta iPad®mini - N","Taška na nákupy s oddílem na iPad® mini"
"BD3336B2-R","Shopping bag con compartimento porta iPad®mini - R","Taška na nákupy s oddílem na iPad® mini"
"BD3336W92-N","kožená nákupní taška pro dámy s praktickým oddělením pro notebook a iPad®","Kvalitní kožená nákupní taška pro dámy s praktickým oddělením pro notebook a iPad®. Stylová a multifunkční taška, která dokáže být vaším nepostradatelným společníkem při nákupech i v práci."
"BD4870W92-N","Borsa tracolla donna modello camera case - N","Náramková taška pro ženy - stylový model v podobě fotoaparátu"
"BD6468W92-N","Kvalitní malá dámská taška na rameno z přírodní kůže - N","Kvalitní malá dámská taška na rameno z přírodní kůže"
"BD6538W134-N","Polymerní taška na nákupy pro dámy s odděleným oddílem pro notebook a iPad® Pro 12""","Polymerní taška na nákupy pro dámy s odděleným oddílem pro notebook a iPad® Pro 12"""
