"Název produktu (CZ)","Kolekce (CZ)","Popis (CZ)","SKU","Cena (€)","Lokální obrázky","Online obrázky","Původní název","Původní kolekce","Původní popis","Značka","Dostupnost","URL produktu"
"Elegatní kožená visačka na adresu s logem PQD","NN","Objevte luxus a praktičnost s elegantní koženou visačkou na adresu značky Piquadro. Vyrobena z prvotřídní italské kůže, tato visačka nabízí nejen vynikající kvalitu, ale i nadčasový design, který osloví každého milovníka stylu. S vysoce precizně vyrytým logem PQD, se tento kousek stává nejen praktickým doplňkem, ale i módním prohlášením.","AC4976-AR2","50.00","images\address-tag-in-pelle-con-logo-pqd-inciso-ac4976\10_AC4976-BLU3_1.jpg; images\address-tag-in-pelle-con-logo-pqd-inciso-ac4976\10_AC4976-BLU3_1.jpg; images\address-tag-in-pelle-con-logo-pqd-inciso-ac4976\10_AC4976-BLU3_1.jpg; images\address-tag-in-pelle-con-logo-pqd-inciso-ac4976\10_AC4976-BLU3_1.jpg; images\address-tag-in-pelle-con-logo-pqd-inciso-ac4976\10_AC4976-BLU3_1.jpg; images\address-tag-in-pelle-con-logo-pqd-inciso-ac4976\10_AC4976-BLU3_1.jpg; images\address-tag-in-pelle-con-logo-pqd-inciso-ac4976\10_AC4976-BLU3_1.jpg; images\address-tag-in-pelle-con-logo-pqd-inciso-ac4976\10_AC4976-BLU3_1.jpg; images\address-tag-in-pelle-con-logo-pqd-inciso-ac4976\10_AC4976-BLU3_1.jpg; images\address-tag-in-pelle-con-logo-pqd-inciso-ac4976\10_AC4976-BLU3_1.jpg; images\address-tag-in-pelle-con-logo-pqd-inciso-ac4976\10_AC4976-BLU3_1.jpg; images\address-tag-in-pelle-con-logo-pqd-inciso-ac4976\10_AC4976-BLU3_1.jpg; images\address-tag-in-pelle-con-logo-pqd-inciso-ac4976\10_AC4976-BLU3_1.jpg; images\address-tag-in-pelle-con-logo-pqd-inciso-ac4976\10_AC4976-BLU3_1.jpg; images\address-tag-in-pelle-con-logo-pqd-inciso-ac4976\10_AC4976-BLU3_1.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/AC4976-GS_1.jpg?v=1695717782","Address Tag in pelle con logo PQD inciso","NN","Address Tag in pelle con logo PQD inciso","Piquadro","Skladem",""
"Kožená adresní visačka s karabinou - Elegantní doplněk pro cestovatele","NN","Objevte dokonalou kombinaci stylu a funkčnosti s naší koženou adresní visačkou s karabinou. Tento špičkový produkt z dílny Piquadro je vyroben z vysoce kvalitní přírodní kůže, která zaručuje nejen luxusní vzhled, ale také výjimečnou odolnost a trvanlivost. Visačka je pečlivě navržena tak, aby splňovala nároky nejen moderních cestovatelů, ale také těch, kteří ocení eleganci v každodenním životě.","AC4977-VES","37.00","images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg; images\address-tag-in-leather-with-carabiner-ac4977\10_AC4977-GS_1.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/AC4977-AR2_1.jpg?v=1749222177","Address Tag in pelle con moschettone","NN","Address Tag in pelle con moschettone","Piquadro","Skladem",""
"Ekologický identifikační štítek z bio materiálu","Vibe","Představujeme vám ekologický identifikační štítek z bio materiálu, který spojuje praktičnost s moderním designem. Tento štítek je vyroben z inovativních bio základů, což z něj činí ideální volbu pro environmentally-conscious zákazníky, kteří chtějí spojit styl s udržitelností.","AC6708S137-AR","18.00","images\address-tag-in-vegan-leather-ac6708s137\10_AC6708S137-VE_1.jpg; images\address-tag-in-vegan-leather-ac6708s137\10_AC6708S137-VE_1.jpg; images\address-tag-in-vegan-leather-ac6708s137\10_AC6708S137-VE_1.jpg; images\address-tag-in-vegan-leather-ac6708s137\10_AC6708S137-VE_1.jpg; images\address-tag-in-vegan-leather-ac6708s137\10_AC6708S137-VE_1.jpg; images\address-tag-in-vegan-leather-ac6708s137\10_AC6708S137-VE_1.jpg; images\address-tag-in-vegan-leather-ac6708s137\10_AC6708S137-VE_1.jpg; images\address-tag-in-vegan-leather-ac6708s137\10_AC6708S137-VE_1.jpg; images\address-tag-in-vegan-leather-ac6708s137\10_AC6708S137-VE_1.jpg; images\address-tag-in-vegan-leather-ac6708s137\10_AC6708S137-VE_1.jpg; images\address-tag-in-vegan-leather-ac6708s137\10_AC6708S137-VE_1.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/AC6708S137-AR_1.jpg?v=1749222196","Address tag in materiale bio-based","Vibe","Address tag in materiale bio-based","Piquadro","Skladem",""
"Elegantní kožený adresní štítek s hliníkovým karabinovým spojem","NN","Představujeme vám elegantní kožený adresní štítek s hliníkovým karabinovým spojem, ideální pro všechny, kdo si cení kvality a stylu. Tento štítek je vyroben z prvotřídní italské kůže, která nejen že skvěle vypadá, ale je také odolná vůči opotřebení, což zaručuje jeho dlouhou životnost. Hladký povrch a jemné detaily vám zajistí, že se stanete středem pozornosti.","AC6192-G","69.00","images\leather-address-tag-with-aluminum-snap-hook-ac6192\10_AC6192-VE_DETT1.jpg; images\leather-address-tag-with-aluminum-snap-hook-ac6192\10_AC6192-VE_DETT1.jpg; images\leather-address-tag-with-aluminum-snap-hook-ac6192\10_AC6192-VE_DETT1.jpg; images\leather-address-tag-with-aluminum-snap-hook-ac6192\10_AC6192-VE_DETT1.jpg; images\leather-address-tag-with-aluminum-snap-hook-ac6192\10_AC6192-VE_DETT1.jpg; images\leather-address-tag-with-aluminum-snap-hook-ac6192\10_AC6192-VE_DETT1.jpg; images\leather-address-tag-with-aluminum-snap-hook-ac6192\10_AC6192-VE_DETT1.jpg; images\leather-address-tag-with-aluminum-snap-hook-ac6192\10_AC6192-VE_DETT1.jpg; images\leather-address-tag-with-aluminum-snap-hook-ac6192\10_AC6192-VE_DETT1.jpg; images\leather-address-tag-with-aluminum-snap-hook-ac6192\10_AC6192-VE_DETT1.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/AC6192-BLU_1.jpg?v=1711030177","Address tag in pelle con moschettone in alluminio","NN","Address Tag in pelle con moschettone in alluminio","Piquadro","Skladem",""
"Kožený štítek s LED osvětlením pro adresy","RS","Tento exklusivní kožený štítek s integrovaným LED osvětlením je ideálním příslušenstvím pro každého, kdo si cení elegance a praktičnosti. Vyroben z prvotřídní italské kůže, nabízí nejen odolnost, ale i jedinečný vzhled, který zaručuje dlouhou životnost a stylový vzhled. Kvalitní zpracování zajišťuje, že štítek nenávratně neztratí svůj šarm ani po dlouhodobém používání.","AC5620RS-GR","39.00","images\wearable-tail-light-with-address-tag-ac5620rs\1_AC5620RS-GR_1.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/AC5620RS-GR_1.jpg?v=1693476566","Address tag in pelle con torcia","RS","Address tag in pelle con torcia","Piquadro","Skladem",""
"Luxusní kožená plánovací agenda s přihrádkou na pero","Blue Square 2","Objevte eleganci a praktičnost s naší luxusní koženou plánovací agendou, která je ideálním společníkem pro každého, kdo si cení kvalitního designu a efektivity. Vyrobena z prvotřídní italské kůže, tato agenda poskytuje nejen vynikající odolnost, ale také jemný a příjemný pocit na dotek. Její elegantní vzhled dokonale doplní jakýkoli pracovní, školní nebo osobní styl.","AG1148B2-MO","179.00","images\leather-daily-diary-with-ag1148b2\1_AG1148B2-MO_1.jpg; images\leather-daily-diary-with-ag1148b2\1_AG1148B2-MO_1.jpg; images\leather-daily-diary-with-ag1148b2\1_AG1148B2-MO_1.jpg; images\leather-daily-diary-with-ag1148b2\1_AG1148B2-MO_1.jpg; images\leather-daily-diary-with-ag1148b2\1_AG1148B2-MO_1.jpg; images\leather-daily-diary-with-ag1148b2\1_AG1148B2-MO_1.jpg; images\leather-daily-diary-with-ag1148b2\1_AG1148B2-MO_1.jpg; images\leather-daily-diary-with-ag1148b2\1_AG1148B2-MO_1.jpg; images\leather-daily-diary-with-ag1148b2\1_AG1148B2-MO_1.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/AG1148B2-MO_1.jpg?v=1693475222","Agenda giornaliera in pelle","Blue Square 2","Agenda giornaliera in pelle con porta penne","Piquadro","Skladem",""
"Kvalitní kožený plánovač velkého formátu s držákem na pero","Blue Square 2","Objevte kouzlo organizace s naším kvalitním koženým plánovačem velkého formátu, který je ideálním společníkem pro každého, kdo si cení elegance a praktičnosti. Tento exkluzivní plánovač je vyroben z prvotřídní hovězí kůže, která mu dodává nejen luxusní vzhled, ale také výjimečnou odolnost a dlouhou životnost. Kůže je pečlivě zpracována, aby zachovala svou přirozenou texturu a barvu, což dělá z každého kusu jedinečný produkt.","AG1075B2-MO","263.00","images\large-leather-organiser-with-ag1075b2\1_AG1075B2-MO_1.jpg; images\large-leather-organiser-with-ag1075b2\1_AG1075B2-MO_1.jpg; images\large-leather-organiser-with-ag1075b2\1_AG1075B2-MO_1.jpg; images\large-leather-organiser-with-ag1075b2\1_AG1075B2-MO_1.jpg; images\large-leather-organiser-with-ag1075b2\1_AG1075B2-MO_1.jpg; images\large-leather-organiser-with-ag1075b2\1_AG1075B2-MO_1.jpg; images\large-leather-organiser-with-ag1075b2\1_AG1075B2-MO_1.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/AG1075B2-MO_1.jpg?v=1693475194","Agenda organizer grande in pelle","Blue Square 2","Agenda organizer grande in pelle con porta penne","Piquadro","Skladem",""
"Elegantní kožený organizér s držákem na pero","Blue Square 2","Agenda organizer in pelle con porta penne","AG1076B2-MO","210.00","images\medium-leather-organiser-with-ag1076b2\10_AG1076B2-G_DETT4.jpg; images\medium-leather-organiser-with-ag1076b2\10_AG1076B2-G_DETT4.jpg; images\medium-leather-organiser-with-ag1076b2\10_AG1076B2-G_DETT4.jpg; images\medium-leather-organiser-with-ag1076b2\10_AG1076B2-G_DETT4.jpg; images\medium-leather-organiser-with-ag1076b2\10_AG1076B2-G_DETT4.jpg; images\medium-leather-organiser-with-ag1076b2\10_AG1076B2-G_DETT4.jpg; images\medium-leather-organiser-with-ag1076b2\10_AG1076B2-G_DETT4.jpg; images\medium-leather-organiser-with-ag1076b2\10_AG1076B2-G_DETT4.jpg; images\medium-leather-organiser-with-ag1076b2\10_AG1076B2-G_DETT4.jpg; images\medium-leather-organiser-with-ag1076b2\10_AG1076B2-G_DETT4.jpg; images\medium-leather-organiser-with-ag1076b2\10_AG1076B2-G_DETT4.jpg; images\medium-leather-organiser-with-ag1076b2\10_AG1076B2-G_DETT4.jpg; images\medium-leather-organiser-with-ag1076b2\10_AG1076B2-G_DETT4.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/AG1076B2-CU4_1.jpg?v=1754399162","Agenda organizer in pelle","Blue Square 2","Agenda organizer in pelle con porta penne","Piquadro","Skladem",""
"Elegantní kožená týdenní agenda s držákem na pero","Blue Square 2","Objevte dokonalé spojení elegance a praktičnosti s naší elegantní koženou týdenní agendou. Vyrobená z prvotřídní italské kůže, tato agenda je nejen odolná, ale také příjemná na dotek, což ji činí ideálním společníkem pro každodenní použití.","AG1139B2-MO","195.00","images\leather-weekly-diary-with-ag1139b2\1_AG1139B2-MO_1.jpg; images\leather-weekly-diary-with-ag1139b2\1_AG1139B2-MO_1.jpg; images\leather-weekly-diary-with-ag1139b2\1_AG1139B2-MO_1.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/AG1139B2-MO_1.jpg?v=1693475258","Agenda settimanale in pelle","Blue Square 2","Agenda settimanale in pelle con porta penne","Piquadro","Skladem",""
"Elegantní kožená cestovní agenda s držákem na pero","Blue Square 2","Představujeme vám naši elegantní koženou cestovní agendu, která spojuje prvotřídní materiály s moderním designem. Vyrobena z vysoce kvalitní italské kůže, tato agenda je zárukou dlouhé životnosti a jedinečného vzhledu, který se s časem jen zlepšuje. Jemná textura a precizní zpracování dodávají produktu luxusní nádech, díky čemuž je ideálním doplňkem pro pracovně zaměřené profesionály i kreativce.","AG1142B2-MO","120.00","images\slim-leather-pocket-diary-ag1142b2\1_AG1142B2-MO_1.jpg; images\slim-leather-pocket-diary-ag1142b2\1_AG1142B2-MO_1.jpg; images\slim-leather-pocket-diary-ag1142b2\1_AG1142B2-MO_1.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/AG1142B2-MO_1.jpg?v=1693476219","Agenda tascabile sottile in pelle","Blue Square 2","Agenda tascabile sottile in pelle con porta penne","Piquadro","Skladem",""
